teamFullName,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonID,shotsAgainstPerGame,shotsForPerGame,faceoffWinPct,teamId,wins,winsInRegulation,winsInShootout
Nashville Predators,82,274,3.34146,212,2.58536,44,8,0.81893,0.814815,0.41463,68,0.197368,0.219298,28,20242025,28.56097,29.30487,0.512694,18,30,24,2
New Jersey Devils,82,220,2.68292,240,2.92682,33,7,0.857777,0.826667,0.55487,91,0.263888,0.282407,40,20242025,26.35365,28.09756,0.498233,1,42,36,2
New York Islanders,82,257,3.13414,222,2.70731,35,12,0.772222,0.722223,0.5,82,0.086956,0.125603,33,20242025,28.7317,29.4878,0.549049,2,35,28,2
New York Rangers,82,255,3.10975,255,3.10975,36,7,0.878661,0.803348,0.51829,85,0.142857,0.17619,38,20242025,29.89024,28.58536,0.535706,3,39,35,1
Ottawa Senators,82,232,2.82926,242,2.95121,30,7,0.816593,0.777293,0.59146,97,0.226765,0.237918,44,20242025,28.60975,29.30487,0.530777,9,45,35,1
Philadelphia Flyers,82,283,3.45121,232,2.82926,39,10,0.796019,0.77612,0.46341,76,0.102803,0.149532,27,20242025,26.95121,26.96341,0.499223,4,33,21,6
Pittsburgh Penguins,82,287,3.5,242,2.95121,36,12,0.800925,0.777778,0.4878,80,0.235294,0.257918,33,20242025,30.13414,28.34146,0.527669,5,34,24,1
San Jose Sharks,82,310,3.78048,208,2.53658,50,12,0.761718,0.742188,0.31707,52,0.150442,0.18584,18,20242025,31.78048,26.86585,0.480641,28,20,14,2
Seattle Kraken,82,262,3.19512,245,2.9878,41,6,0.787564,0.772021,0.46341,76,0.171806,0.189427,33,20242025,28.56097,27.35365,0.485609,55,35,28,2
St. Louis Blues,82,231,2.81707,250,3.04878,30,8,0.763157,0.742106,0.58536,96,0.194871,0.220512,40,20242025,27.26829,26.65853,0.515607,19,44,32,4
Tampa Bay Lightning,82,216,2.63414,292,3.56097,27,8,0.868932,0.815534,0.62195,102,0.202586,0.25862,45,20242025,28.18292,28.54878,0.500841,14,47,41,2
Toronto Maple Leafs,82,229,2.79268,267,3.25609,26,4,0.804255,0.778724,0.65853,108,0.215596,0.247706,51,20242025,29.32926,28.01219,0.537442,10,52,40,1
Utah Hockey Club,82,247,3.01219,240,2.92682,31,13,0.808764,0.792829,0.54268,89,0.207627,0.241525,37,20242025,27.70731,28.54878,0.515686,59,38,30,1
Vancouver Canucks,82,251,3.06097,233,2.84146,30,14,0.84375,0.825893,0.54878,90,0.193693,0.225225,35,20242025,26.80487,25.53658,0.488603,23,38,28,3
Vegas Golden Knights,82,214,2.60975,274,3.34146,22,10,0.792899,0.757397,0.67073,110,0.267379,0.283422,49,20242025,26.10975,30.26829,0.504107,54,50,46,1
Washington Capitals,82,229,2.79268,286,3.4878,22,9,0.853556,0.820084,0.67682,111,0.203619,0.235294,49,20242025,27.18292,27.62195,0.501848,15,51,43,2
Winnipeg Jets,82,190,2.31707,275,3.35365,22,4,0.81407,0.79397,0.70731,116,0.270642,0.28899,54,20242025,27.18292,28.21951,0.493291,52,56,43,2
